Posición,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Asistencia,Portero,Temporada,Goles Metidos,Maximo Goleador 1,Maximo Goleador 2,Maximo Goleador 1_Numero,DG_ESPERADO,xG_ESPERADO,GF_ESPERADO
1,Manchester City,38,32,4,2,106,27,79,100,2.63,78.6,23.8,54.8,1.44,,Ederson,2017-2018,21,Sergio Agüero,,71,64.33751254,87.7937878,96.70246067
2,Manchester Utd,38,25,6,7,68,28,40,81,2.13,55.7,40.7,15,0.4,,David de Gea,2017-2018,16,Romelu Lukaku,,83,16.17009988,60.5408046,62.83334674
3,Tottenham,38,23,8,7,74,36,38,77,2.03,64.7,33.9,30.8,0.81,,Hugo Lloris,2017-2018,30,Harry Kane,,25,24.16244202,60.66975904,70.51147425
4,Liverpool,38,21,12,5,84,38,46,75,1.97,72.9,33.8,39.1,1.03,,"Loris Karius, Simon Mignolet",2017-2018,32,Mohamed Salah,,3,44.60442758,75.6658349,81.70872089
5,Chelsea,38,21,7,10,62,38,24,70,1.84,54.4,33.8,20.6,0.54,,Thibaut Courtois,2017-2018,12,Eden Hazard,,73,14.99167558,62.53106654,62.33693132
6,Arsenal,38,19,6,13,74,51,23,63,1.66,68.3,47.8,20.5,0.54,,Petr Čech,2017-2018,14,Alexandre Lacazette,,54,36.7656964,60.32610229,73.2770236
7,Burnley,38,14,12,12,36,39,-3,54,1.42,32.3,51.2,-18.9,-0.5,,Nick Pope,2017-2018,10,Chris Wood,,17,-14.56107318,39.31964326,37.8114214
8,Everton,38,13,10,15,44,58,-14,49,1.29,40.5,52.4,-11.9,-0.31,,Jordan Pickford,2017-2018,10,Wayne Rooney,,84,-16.8563051,46.12609187,40.71063616
9,Leicester City,38,12,11,15,56,60,-4,47,1.24,50,48.1,1.9,0.05,,Kasper Schmeichel,2017-2018,20,Jamie Vardy,,41,-2.628219526,50.70215584,56.17907169
10,Newcastle Utd,38,12,8,18,39,47,-8,44,1.16,41.6,52.4,-10.8,-0.28,,Rob Elliot,2017-2018,8,Ayoze Pérez,,79,-10.82339864,44.47588408,48.3755536
11,Crystal Palace,38,11,11,16,45,55,-10,44,1.16,53.5,48.2,5.2,0.14,,Wayne Hennessey,2017-2018,10,Luka Milivojević,,78,1.280288939,43.03381038,49.19179694
12,Bournemouth,38,11,11,16,45,61,-16,44,1.16,38.8,59.2,-20.4,-0.54,,Asmir Begović,2017-2018,8,Joshua King,Callum Wilson,85,-26.00791579,48.94246575,44.72089647
13,West Ham,38,10,12,16,48,68,-20,42,1.11,36.7,55.1,-18.4,-0.48,,"Joe Hart, Adrián",2017-2018,11,Marko Arnautović,,76,-23.53711216,44.34915536,46.49594448
14,Watford,38,11,8,19,44,64,-20,41,1.08,45,51.8,-6.8,-0.18,,Heurelho Gomes,2017-2018,7,Abdoulaye Doucouré,,15,-25.93464715,46.4160793,39.70544743
15,Brighton,38,9,13,16,34,54,-20,40,1.05,37,50.8,-13.8,-0.36,,Mathew Ryan,2017-2018,12,Glenn Murray,,81,-20.83308269,39.17877681,35.25610328
16,Huddersfield,38,9,10,19,28,58,-30,37,0.97,31.3,48.5,-17.2,-0.45,,Jonas Lössl,2017-2018,7,Steve Mounié,,86,-30,31.3,28
17,Southampton,38,7,15,16,37,56,-19,36,0.95,39.9,45.2,-5.3,-0.14,,Fraser Forster,2017-2018,7,Charlie Austin,,87,-26.64281577,45.98946515,43.24483633
18,Swansea City,38,8,9,21,28,56,-28,33,0.87,31.6,58.6,-27,-0.71,,Łukasz Fabiański,2017-2018,7,Jordan Ayew,,68,-28,31.6,28
19,Stoke City,38,7,12,19,35,68,-33,33,0.87,36.5,62.5,-26,-0.69,,Jack Butland,2017-2018,8,Xherdan Shaqiri,,88,-33,36.5,35
20,West Brom,38,6,13,19,31,56,-25,31,0.82,36.5,47.9,-11.4,-0.3,,Ben Foster,2017-2018,7,Jay Rodriguez,Salomón Rondón,89,-25,36.5,31
